time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.25031,0.540364,-0.417936,-0.355699,-0.0353763,-2.22119,-0.378503,-4.41674,16.5283,7.06838,-3.78396,10.408,3.12984,0,0,0,0,0,0
3.2553,0.548384,-0.386874,-0.354053,-0.0376435,-2.20718,-0.385468,-4.01092,16.2998,8.32656,-3.01392,9.8946,4.38012,0,0,0,0,0,0
3.26031,0.543417,-0.362981,-0.367206,-0.0458808,-2.19582,-0.391245,-3.54206,16.5401,7.90856,-3.13812,10.292,3.36168,0,0,0,0,0,0
3.26532,0.531747,-0.345856,-0.376989,-0.0474132,-2.19121,-0.38265,-3.54206,16.5401,7.90856,-3.13812,10.292,3.36168,0,0,0,0,0,0
3.27032,0.521476,-0.335749,-0.391995,-0.0461761,-2.2015,-0.383638,-3.70754,16.879,8.2346,-3.11328,11.4098,4.18968,0,0,0,0,0,0
3.27532,0.515951,-0.326792,-0.408654,-0.0478172,-2.22317,-0.394038,-3.70754,16.879,8.2346,-3.11328,11.4098,4.18968,0,0,0,0,0,0
3.28033,0.516796,-0.319112,-0.41822,-0.0411497,-2.23979,-0.401709,-4.14488,17.0563,7.76017,-3.8916,11.1449,4.0158,0,0,0,0,0,0
3.28531,0.523571,-0.311397,-0.419736,-0.0272797,-2.25165,-0.408686,-4.14488,17.0563,7.76017,-3.8916,11.1449,4.0158,0,0,0,0,0,0
3.2903,0.540372,-0.309561,-0.421109,-0.0351013,-2.25758,-0.41132,-5.0038,17.5448,7.80406,-2.24388,10.7309,3.59352,0,0,0,0,0,0
3.2953,0.569444,-0.314237,-0.423238,-0.0586971,-2.25934,-0.410603,-5.0038,17.5448,7.80406,-2.24388,10.7309,3.59352,0,0,0,0,0,0
3.30031,0.598021,-0.328199,-0.424235,-0.0689213,-2.25703,-0.397943,-4.98804,18.1989,7.66403,-3.0636,10.3417,2.53368,0,0,0,0,0,0
3.30532,0.624956,-0.351881,-0.424592,-0.071905,-2.25069,-0.372923,-4.98804,18.1989,7.66403,-3.0636,10.3417,2.53368,0,0,0,0,0,0
3.31031,0.641093,-0.38055,-0.430228,-0.0876912,-2.25092,-0.369108,-4.28278,18.4707,8.0047,-2.1528,10.822,4.18968,0,0,0,0,0,0
3.31531,0.650313,-0.407587,-0.437115,-0.115463,-2.25596,-0.386739,-4.28278,18.4707,8.0047,-2.1528,10.822,4.18968,0,0,0,0,0,0
3.32031,0.650845,-0.429811,-0.441142,-0.131552,-2.26198,-0.401173,-3.56964,18.2422,7.87094,-3.07188,10.9544,3.933,0,0,0,0,0,0
3.32531,0.649348,-0.437911,-0.441566,-0.137133,-2.2486,-0.41355,-4.22762,17.4857,7.76226,-3.12156,9.28188,4.10688,0,0,0,0,0,0
3.33031,0.655636,-0.434717,-0.439895,-0.136579,-2.21407,-0.421649,-4.22762,17.4857,7.76226,-3.12156,9.28188,4.10688,0,0,0,0,0,0
3.33531,0.655837,-0.433425,-0.436622,-0.135471,-2.19794,-0.413125,-3.8218,17.6197,7.60969,-2.90628,10.7226,3.0636,0,0,0,0,0,0
3.34032,0.653175,-0.433904,-0.43207,-0.137903,-2.20145,-0.392906,-3.8218,17.6197,7.60969,-2.90628,10.7226,3.0636,0,0,0,0,0,0
3.34532,0.656997,-0.421994,-0.438268,-0.135577,-2.21205,-0.400069,-4.31824,16.5047,8.38926,-3.32856,11.2194,5.175,0,0,0,0,0,0
3.3503,0.657519,-0.387944,-0.451195,-0.14078,-2.22189,-0.42444,-3.66814,16.1146,8.31193,-2.74896,10.9462,4.45464,0,0,0,0,0,0
3.3553,0.652177,-0.348459,-0.461886,-0.154228,-2.22775,-0.440917,-3.66814,16.1146,8.31193,-2.74896,10.9462,4.45464,0,0,0,0,0,0
3.36022,0.673027,-0.308252,-0.46778,-0.157898,-2.23521,-0.456726,-5.72876,15.9294,7.92737,-3.53556,11.0786,4.347,0,0,0,0,0,0
3.36518,0.700402,-0.264839,-0.472816,-0.158858,-2.25435,-0.456304,-4.35764,15.7285,8.24505,-3.17952,11.741,3.34512,0,0,0,0,0,0
3.37032,0.708761,-0.221234,-0.48224,-0.166205,-2.28099,-0.441486,-4.35764,15.7285,8.24505,-3.17952,11.741,3.34512,0,0,0,0,0,0
3.3753,0.705612,-0.189506,-0.489933,-0.176822,-2.2975,-0.433874,-3.56964,16.4022,8.01724,-2.90628,10.9627,3.96612,0,0,0,0,0,0
3.38032,0.692953,-0.170124,-0.496675,-0.188811,-2.30503,-0.435107,-3.56964,16.4022,8.01724,-2.90628,10.9627,3.96612,0,0,0,0,0,0
3.38532,0.694433,-0.155855,-0.497063,-0.20082,-2.31615,-0.447816,-4.73194,16.5559,7.38606,-2.75724,11.2111,4.83552,0,0,0,0,0,0
3.39031,0.701888,-0.144495,-0.505365,-0.218724,-2.34466,-0.469417,-4.05426,16.3865,8.52511,-2.47572,12.2461,4.52088,0,0,0,0,0,0
3.39532,0.702172,-0.126774,-0.52476,-0.239483,-2.38299,-0.484099,-4.05426,16.3865,8.52511,-2.47572,12.2461,4.52088,0,0,0,0,0,0
3.4003,0.7082,-0.108938,-0.533566,-0.24516,-2.40243,-0.494979,-4.51918,16.4613,7.78734,-3.61008,10.8965,4.35528,0,0,0,0,0,0
3.40531,0.710366,-0.0975546,-0.532712,-0.237986,-2.4162,-0.488271,-3.83362,16.9775,7.86676,-3.3534,11.8238,3.04704,0,0,0,0,0,0
3.41033,0.707713,-0.0944596,-0.534342,-0.230097,-2.44315,-0.470858,-3.83362,16.9775,7.86676,-3.3534,11.8238,3.04704,0,0,0,0,0,0
3.41532,0.719604,-0.0868968,-0.542249,-0.224223,-2.47673,-0.465404,-4.9053,16.4456,8.26386,-3.01392,12.3124,3.73428,0,0,0,0,0,0
3.4203,0.732757,-0.0712617,-0.544955,-0.220467,-2.50299,-0.477785,-4.11336,16.1855,7.34426,-3.17124,11.3353,4.31388,0,0,0,0,0,0
3.42532,0.744555,-0.0566546,-0.539193,-0.22494,-2.51474,-0.481631,-4.75558,16.3274,7.4822,-2.4426,11.0041,2.95596,0,0,0,0,0,0
3.43031,0.748166,-0.0449815,-0.544343,-0.227104,-2.52859,-0.465854,-3.35688,16.4377,8.26595,-3.16296,11.5837,2.59164,0,0,0,0,0,0
3.43533,0.738236,-0.035726,-0.55011,-0.210429,-2.55519,-0.448274,-3.743,16.2407,7.32545,-4.20624,12.064,2.7324,0,0,0,0,0,0
3.4403,0.743954,-0.0209398,-0.54716,-0.20066,-2.57494,-0.437667,-4.4916,16.0122,7.59715,-2.59164,11.0621,3.41136,0,0,0,0,0,0
3.44532,0.753542,-0.00267612,-0.540751,-0.215843,-2.55915,-0.438903,-4.08184,15.9806,7.09346,-2.10312,9.15768,3.75912,0,0,0,0,0,0
3.4503,0.769811,0.00935982,-0.533371,-0.212508,-2.54345,-0.451011,-5.01562,16.2604,7.32754,-3.94956,10.9627,4.23936,0,0,0,0,0,0
3.4553,0.817799,0.0203499,-0.542587,-0.169455,-2.53653,-0.471714,-6.62708,16.1973,8.52093,-5.53932,9.9774,4.4712,0,0,0,0,0,0
3.46033,0.860021,0.0359596,-0.555472,-0.126229,-2.53995,-0.473424,-4.85408,16.0594,7.80197,-3.99924,11.7742,2.91456,0,0,0,0,0,0
3.46531,0.877591,0.0417106,-0.560445,-0.110575,-2.57596,-0.460831,-4.89348,17.1154,8.06113,-3.65976,12.6518,3.519,0,0,0,0,0,0
3.47033,0.885101,0.0358249,-0.567331,-0.105229,-2.60595,-0.455414,-4.23156,17.3399,8.22206,-3.51072,11.6168,3.8502,0,0,0,0,0,0
3.47531,0.882751,0.0283764,-0.579654,-0.11407,-2.60767,-0.458899,-4.22368,17.2769,8.51884,-2.63304,10.5073,4.53744,0,0,0,0,0,0
3.4803,0.886818,0.0207887,-0.586018,-0.122316,-2.61031,-0.46266,-4.72406,17.2572,7.70792,-3.22092,11.534,3.90816,0,0,0,0,0,0
