time,res_0,res_1,res_2,res_3,res_4,res_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5,qd_raw_0,qd_raw_1,qd_raw_2,qd_raw_3,qd_raw_4,qd_raw_5,qd_smooth_0,qd_smooth_1,qd_smooth_2,qd_smooth_3,qd_smooth_4,qd_smooth_5
3.11032,0.30741,-0.398545,-0.424797,-0.0549464,-1.12936,-0.0607137,0.0303352,10.2976,5.46744,0.213934,3.87476,0.170897,-0.00375729,-0.00523142,-0.00379077,-0.000113397,9.76133e-06,0.000690574,-3.21459,5.87925,1.67283,-3.28151,4.32932,2.86928,-0.194779,0.0125664,0.121475,-0.263894,0.113097,0.150796,-0.190067,0.0137026,0.124432,-0.246178,0.113192,0.149707
3.11533,0.337105,-0.484946,-0.450035,-0.0645738,-1.23864,-0.0729592,0.0340745,10.2951,5.46574,0.21494,3.87106,0.170297,-0.00387599,-0.00540967,-0.00387451,-0.00013483,2.57767e-05,0.000695276,-3.20768,6.09706,1.6749,-3.29089,4.32438,2.87287,-0.182212,0.020944,0.129852,-0.265988,0.108909,0.154985,-0.188188,0.0154348,0.125729,-0.250917,0.112167,0.15097
3.12032,0.362717,-0.572601,-0.476661,-0.0736798,-1.34447,-0.0858716,0.0340745,10.2951,5.46574,0.21494,3.87106,0.170297,-0.00390653,-0.00541485,-0.00385983,-0.000135097,3.92342e-05,0.000699805,-3.20243,6.22303,1.67646,-3.29803,4.32062,2.8756,-0.182212,0.020944,0.129852,-0.265988,0.108909,0.154985,-0.18676,0.0167511,0.126714,-0.254518,0.111389,0.151929
3.12531,0.383396,-0.65806,-0.501189,-0.0852408,-1.4541,-0.101167,0.0384223,10.2923,5.4638,0.216248,3.86697,0.169716,-0.00418592,-0.00573424,-0.00408809,-0.00016674,6.54869e-05,0.000727093,-3.22233,6.2636,1.68322,-3.29751,4.32259,2.87341,-0.20944,0.0188496,0.144513,-0.253422,0.113097,0.148702,-0.192171,0.0172518,0.130961,-0.254257,0.111796,0.151159
3.13032,0.400037,-0.741934,-0.524422,-0.0991125,-1.5673,-0.118654,0.0384223,10.2923,5.4638,0.216248,3.86697,0.169716,-0.00433961,-0.00583488,-0.00417709,-0.000170127,9.07742e-05,0.000750111,-3.23752,6.29218,1.68838,-3.29712,4.32409,2.87174,-0.20944,0.0188496,0.144513,-0.253422,0.113097,0.148702,-0.196303,0.0176341,0.134203,-0.254057,0.112108,0.150571
3.13531,0.413701,-0.824703,-0.544395,-0.107708,-1.68597,-0.132215,0.0426222,10.2896,5.4618,0.217438,3.86292,0.169166,-0.00454161,-0.00614468,-0.00438691,-0.0001996,9.25734e-05,0.000764696,-3.24906,6.37514,1.68991,-3.29285,4.32523,2.89322,-0.20944,0.0230383,0.13823,-0.245044,0.113097,0.182212,-0.199439,0.0189242,0.135165,-0.251905,0.112344,0.158125
3.14031,0.424996,-0.90638,-0.561817,-0.111603,-1.80953,-0.142454,0.0426222,10.2896,5.4618,0.217438,3.86292,0.169166,-0.00461629,-0.00622966,-0.00445749,-0.000202888,9.82671e-05,0.000777632,-3.25785,6.42644,1.69108,-3.2896,4.3261,2.9096,-0.20944,0.0230383,0.13823,-0.245044,0.113097,0.182212,-0.20183,0.0199077,0.135897,-0.250265,0.112524,0.163883
3.14531,0.435361,-0.983956,-0.572383,-0.11694,-1.9315,-0.151532,0.0472493,10.2865,5.45964,0.218861,3.85806,0.168465,-0.00497248,-0.00677019,-0.00480133,-0.000245334,0.000119666,0.000816763,-3.2719,6.47957,1.69675,-3.31391,4.33643,2.9007,-0.217817,0.0251327,0.150796,-0.301593,0.121475,0.150796,-0.20565,0.0211565,0.139458,-0.262532,0.114663,0.160756
3.15029,0.445166,-1.05808,-0.577711,-0.122499,-2.05126,-0.159358,0.0472493,10.2865,5.45964,0.218861,3.85806,0.168465,-0.00516291,-0.00700496,-0.00495729,-0.000254421,0.000135788,0.000848603,-3.28258,6.51257,1.70105,-3.33237,4.34427,2.89395,-0.217817,0.0251327,0.150796,-0.301593,0.121475,0.150796,-0.208553,0.0221051,0.142163,-0.271851,0.116288,0.15838
3.15532,0.462672,-1.11905,-0.580676,-0.134671,-2.16937,-0.174332,0.051811,10.2838,5.45754,0.220671,3.85381,0.167975,-0.00546403,-0.00748762,-0.00523874,-0.000310631,0.00015056,0.00087837,-3.28521,6.57123,1.70435,-3.32858,4.36483,2.91593,-0.211534,0.0314159,0.150796,-0.263894,0.134041,0.19059,-0.209268,0.0243394,0.144235,-0.269941,0.120548,0.166109
