time,res_0,res_1,res_2,res_3,res_4,res_5,m_0,m_1,m_2,m_3,m_4,m_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5
2.1604,0.496113,-1.32997,0.663271,0.17101,-2.02996,-0.462996,0.361281,1.00559,0.648047,-0.757806,0.888326,-0.259474,-0.0590359,10.3354,5.49347,0.198124,3.93402,0.189024,2.15091e-06,7.56433e-05,-1.46098e-05,2.41035e-09,1.08588e-05,-1.44916e-06,3.60703,2.50303,0.254724,-2.91051,4.0722,-2.68085
2.16526,0.515002,-1.32201,0.608552,0.119822,-2.20687,-0.537503,0.399965,1.03919,0.686954,-0.800346,0.87269,-0.238396,-0.0593174,10.3354,5.49355,0.198067,3.9341,0.188963,5.62901e-06,0.00010564,-1.29678e-05,1.68943e-06,1.54311e-05,-4.13464e-07,3.63092,2.84292,0.451585,-2.93176,4.13226,-2.69774
2.17036,0.510481,-1.307,0.54622,0.0679962,-2.36765,-0.59673,0.394969,1.14842,0.753318,-0.453084,1.0344,-0.195933,-0.0596281,10.3355,5.49363,0.198023,3.93419,0.188917,8.12798e-06,0.000137706,-1.35862e-05,2.38626e-06,1.82329e-05,-7.62203e-07,3.65544,3.1014,0.594874,-2.9446,4.20942,-2.71228
2.17533,0.51523,-1.29462,0.483898,0.0031401,-2.54334,-0.648971,0.320949,0.971362,0.689275,-0.530788,0.603037,-0.213397,-0.0599824,10.3357,5.49374,0.197928,3.93432,0.188811,1.29101e-05,0.000166467,-1.17048e-05,6.37838e-07,2.21347e-05,-3.23817e-06,3.67365,3.28628,1.04344,-2.95908,4.24267,-2.72726
2.18029,0.507582,-1.26509,0.437765,-0.0374937,-2.73522,-0.694207,0.505466,1.68615,1.15214,-0.539965,1.12118,-0.213152,-0.0602668,10.3358,5.49383,0.19787,3.93442,0.188752,1.53824e-05,0.000211482,-1.23526e-05,-4.17302e-06,2.50929e-05,-9.95485e-06,3.70214,3.87685,1.32659,-2.97404,4.30881,-2.74288
2.18536,0.490479,-1.23167,0.390055,-0.0647397,-3.0072,-0.68118,0.445697,1.35324,0.923455,-0.703807,0.803716,-0.0964185,-0.0606984,10.3359,5.49395,0.197782,3.93456,0.18866,1.73657e-05,0.000249181,-1.63476e-05,-7.80937e-06,2.73438e-05,-1.55704e-05,3.72793,4.46885,1.43427,-2.99364,4.35273,-2.75064
2.19046,0.512102,-1.19188,0.343067,-0.0728306,-3.23894,-0.611162,0.487963,1.26442,0.877437,-0.344151,0.83563,-0.133399,-0.061121,10.336,5.49407,0.197717,3.93471,0.188592,1.80724e-05,0.000283451,-2.84972e-05,-1.50784e-05,2.62669e-05,-2.58744e-05,3.75693,4.68679,1.48317,-3.00355,4.40336,-2.7609
2.1952,0.516446,-1.15759,0.297517,-0.098678,-3.44505,-0.517538,0.408516,1.23856,0.878811,-0.787926,0.887076,-0.0990293,-0.0615623,10.3361,5.49416,0.197656,3.93484,0.188527,2.63976e-05,0.000325302,-3.07731e-05,-1.51858e-05,2.87557e-05,-2.82323e-05,3.77944,4.67715,1.50826,-3.02395,4.4558,-2.76823
2.2004,0.484424,-1.11689,0.251473,-0.103632,-3.66938,-0.378929,0.248312,1.54932,1.06324,-0.367374,1.0603,-0.000433207,-0.0620339,10.3363,5.4943,0.197589,3.93501,0.188456,2.87244e-05,0.00036379,-2.65089e-05,-1.6512e-05,2.74469e-05,-3.37562e-05,3.79239,4.98951,1.52453,-3.03471,4.52163,-2.7699
2.20549,0.463363,-1.07192,0.219564,-0.118289,-3.92685,-0.189717,0.429304,1.75204,1.27086,-0.492275,0.898164,-0.0996598,-0.0626373,10.3364,5.49439,0.19751,3.93517,0.188362,2.50282e-05,0.000405833,-3.1796e-05,-2.70356e-05,2.31347e-05,-5.00338e-05,3.81507,5.19337,1.54404,-3.04873,4.56068,-2.77836
