time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
3.57032,1.16427,0.467428,-0.652229,-0.0225419,-2.91476,-0.690208
3.5753,1.18195,0.485261,-0.65688,-0.0170685,-2.90868,-0.699648
3.58033,1.20158,0.505432,-0.658287,-0.0126859,-2.90533,-0.709213
3.58532,1.21823,0.523952,-0.663347,-0.0130964,-2.89699,-0.720626
3.59033,1.23475,0.535845,-0.663972,-0.0165691,-2.88929,-0.733694
3.59533,1.25224,0.542227,-0.66188,-0.0303097,-2.88569,-0.738516
3.60032,1.27083,0.546591,-0.655683,-0.0524855,-2.88466,-0.73556
3.60532,1.28257,0.547868,-0.643571,-0.0666696,-2.88224,-0.735405
3.61033,1.29185,0.548045,-0.629057,-0.0804933,-2.88327,-0.739834
3.61532,1.2983,0.553325,-0.615248,-0.091628,-2.88949,-0.744398
3.62034,1.3064,0.571297,-0.599658,-0.105891,-2.89171,-0.741439
3.62531,1.30869,0.590864,-0.584906,-0.116534,-2.89372,-0.744849
3.6303,1.31041,0.612233,-0.571744,-0.126002,-2.9029,-0.752464
3.63533,1.31183,0.632654,-0.561207,-0.12461,-2.91462,-0.766422
3.64034,1.31014,0.64672,-0.556152,-0.115305,-2.93023,-0.774307
3.64531,1.32152,0.650825,-0.555664,-0.106531,-2.945,-0.778787
3.65033,1.33464,0.652818,-0.557582,-0.0934206,-2.96014,-0.792611
3.65532,1.35149,0.65387,-0.55547,-0.079565,-2.96928,-0.79739
3.66033,1.36848,0.654354,-0.543562,-0.06747,-2.97893,-0.799701
3.66531,1.38602,0.660961,-0.535721,-0.0579284,-2.98498,-0.799378
3.67032,1.40097,0.670929,-0.530634,-0.0505894,-2.98171,-0.804795
3.67524,1.41463,0.690576,-0.518908,-0.0391986,-2.97142,-0.81249
3.6802,1.42633,0.71386,-0.508065,-0.03055,-2.95556,-0.812101
3.68534,1.43312,0.729902,-0.492402,-0.021856,-2.93627,-0.813708
3.69032,1.42417,0.736297,-0.476195,-0.0169377,-2.9177,-0.814098
3.69531,1.41714,0.73291,-0.463682,-0.0139367,-2.8904,-0.810459
3.70035,1.40952,0.717937,-0.450737,-0.0120065,-2.85688,-0.803855
3.70531,1.40211,0.694061,-0.437798,-0.0115191,-2.81932,-0.795029
3.71033,1.40073,0.674359,-0.430186,-0.0122377,-2.78336,-0.79083
3.71531,1.40535,0.661969,-0.425431,-0.0137328,-2.74896,-0.79081
3.72031,1.40886,0.653278,-0.423979,-0.00824936,-2.71202,-0.788949
3.72533,1.41197,0.649528,-0.434847,-0.00279464,-2.67618,-0.783136
3.73033,1.41573,0.647036,-0.44223,-0.000167647,-2.64331,-0.785124
3.73532,1.41708,0.64241,-0.45513,0.00522192,-2.60858,-0.796359
3.74033,1.41835,0.632476,-0.469884,0.00627998,-2.57799,-0.811398
3.74533,1.4279,0.610015,-0.480904,0.00741596,-2.55439,-0.822959
3.75032,1.44001,0.577653,-0.49425,0.000134959,-2.53793,-0.838825
3.75534,1.45244,0.542573,-0.50635,-0.00148193,-2.52529,-0.852439
3.76034,1.46552,0.504267,-0.514327,-0.00559687,-2.51819,-0.863562
3.76531,1.47782,0.470049,-0.518422,-0.011774,-2.51002,-0.87146
3.77031,1.48869,0.447795,-0.525492,-0.0145182,-2.50609,-0.879582
3.77531,1.495,0.426488,-0.528903,-0.0184362,-2.50984,-0.894451
3.7803,1.49943,0.407988,-0.532254,-0.0178973,-2.51212,-0.898574
3.78533,1.50296,0.378967,-0.533278,-0.0129025,-2.51248,-0.899095
3.79033,1.50732,0.34048,-0.533842,-0.000397295,-2.51137,-0.899528
3.79532,1.50842,0.295856,-0.537024,0.0117707,-2.50535,-0.901707
3.80032,1.52092,0.247773,-0.541096,0.0256422,-2.50051,-0.898022
3.80533,1.53058,0.206444,-0.547542,0.0414841,-2.49994,-0.896619
3.81031,1.54361,0.181663,-0.558556,0.0498335,-2.49742,-0.899121
3.81533,1.5587,0.163643,-0.565518,0.0532156,-2.49678,-0.901719
3.82021,1.57687,0.153311,-0.569525,0.055542,-2.49777,-0.903677
3.82525,1.59615,0.135682,-0.571176,0.0614929,-2.49383,-0.910485
3.83032,1.62517,0.113926,-0.574861,0.0713453,-2.48696,-0.920391
3.83533,1.66183,0.090848,-0.579069,0.0842546,-2.47787,-0.932725
3.8403,1.69598,0.0645685,-0.573611,0.0866727,-2.47007,-0.933676
3.84532,1.73338,0.0322923,-0.572521,0.093603,-2.45947,-0.938518
3.85024,1.76479,0.00603537,-0.571762,0.102073,-2.45497,-0.949735
3.85531,1.79912,-0.0108491,-0.569365,0.105645,-2.45137,-0.955081
3.86033,1.8275,-0.0218858,-0.572539,0.108291,-2.44265,-0.962656
3.86531,1.84332,-0.025544,-0.575834,0.117476,-2.43182,-0.968965
3.87033,1.85804,-0.034381,-0.578629,0.124902,-2.41716,-0.971083
3.8753,1.86711,-0.0414154,-0.580416,0.128995,-2.40434,-0.970271
3.88033,1.87032,-0.0522539,-0.578203,0.136846,-2.39185,-0.97075
3.88518,1.87203,-0.0644144,-0.576133,0.139012,-2.37243,-0.966977
3.89036,1.8723,-0.0687579,-0.569975,0.141238,-2.35751,-0.95852
3.89534,1.86923,-0.0634436,-0.562368,0.13525,-2.34243,-0.944903
3.90034,1.85729,-0.0436002,-0.55694,0.119819,-2.32532,-0.937621
3.90536,1.84415,-0.0278136,-0.541617,0.0994288,-2.30831,-0.925729
3.91035,1.82729,-0.0187742,-0.535779,0.0804133,-2.28708,-0.913304
3.91539,1.81776,-0.0149723,-0.525376,0.0576714,-2.25774,-0.904895
3.92038,1.81617,-0.01569,-0.511408,0.0328428,-2.22238,-0.900617
3.92539,1.81719,-0.0194153,-0.503268,0.010597,-2.18261,-0.888882
3.9304,1.80717,-0.0162908,-0.488111,-0.00343888,-2.14052,-0.878913
3.93536,1.80775,-0.00430131,-0.47763,-0.00674872,-2.1087,-0.878945
3.94034,1.81972,0.00107289,-0.47458,-0.000944372,-2.07756,-0.888288
3.94536,1.84181,0.00379819,-0.475765,0.0121647,-2.04575,-0.905205
3.95037,1.86366,-0.00487473,-0.481701,0.0267143,-2.01881,-0.92261
3.95538,1.88522,-0.0216603,-0.490691,0.0411453,-1.99598,-0.93989
3.96038,1.90432,-0.0437972,-0.502503,0.0516524,-1.97852,-0.950572
3.96536,1.92201,-0.0684996,-0.515655,0.0577287,-1.96628,-0.955078
3.97034,1.94332,-0.0901456,-0.539416,0.0579056,-1.94795,-0.959652
3.97533,1.95554,-0.10769,-0.566217,0.057205,-1.93103,-0.958315
3.98028,1.96087,-0.120576,-0.594638,0.0550934,-1.91585,-0.951154
3.98534,1.96148,-0.144697,-0.624797,0.0504567,-1.90514,-0.944633
3.99035,1.95942,-0.175226,-0.653677,0.0441623,-1.89832,-0.939407
3.99531,1.9598,-0.208267,-0.678974,0.0379119,-1.88997,-0.938782
4.00031,1.96395,-0.240613,-0.699576,0.0326874,-1.87945,-0.942413
4.00542,1.97167,-0.271944,-0.715664,0.0290396,-1.86644,-0.950174
4.01034,1.97941,-0.288613,-0.724998,0.0288245,-1.85748,-0.954026
4.01537,1.99066,-0.304957,-0.734431,0.0290108,-1.84538,-0.96033
4.02035,2.00455,-0.318286,-0.742258,0.0282843,-1.83045,-0.968479
4.02538,2.01968,-0.334969,-0.747595,0.0209435,-1.81307,-0.971172
4.03035,2.03713,-0.352699,-0.750043,0.00934792,-1.79389,-0.969119
4.03535,2.04692,-0.373952,-0.755786,0.00124627,-1.77673,-0.971958
4.04035,2.05127,-0.397854,-0.764741,-0.00504077,-1.76232,-0.97855
4.04536,2.0529,-0.418026,-0.771256,-0.0123129,-1.75207,-0.983235
4.05035,2.05481,-0.431451,-0.773833,-0.0195426,-1.7462,-0.986714
4.05536,2.05996,-0.446924,-0.781814,-0.0225052,-1.73617,-0.985753
4.06037,2.06241,-0.46336,-0.784363,-0.0286659,-1.73091,-0.98131
4.06546,2.06354,-0.480051,-0.78162,-0.0372997,-1.72979,-0.973729
4.07038,2.06144,-0.492001,-0.772016,-0.0420618,-1.72604,-0.966043
4.07539,2.06702,-0.500437,-0.766319,-0.04433,-1.72465,-0.961231
4.08039,2.07939,-0.503866,-0.763216,-0.0451864,-1.72489,-0.959207
4.0853,2.09863,-0.509202,-0.756061,-0.0511606,-1.72117,-0.951679
4.09018,2.11361,-0.510498,-0.744813,-0.0575419,-1.7181,-0.952738
4.0953,2.12766,-0.506693,-0.72828,-0.0642868,-1.71571,-0.961494
4.10023,2.14504,-0.504125,-0.709504,-0.0698742,-1.7109,-0.972368
4.10528,2.15889,-0.495435,-0.686028,-0.0771545,-1.70404,-0.986006
4.11031,2.17165,-0.478655,-0.657817,-0.0858941,-1.69568,-1.00211
4.1153,2.18241,-0.458864,-0.636603,-0.0906323,-1.68793,-1.01761
4.12033,2.18648,-0.445456,-0.619634,-0.090229,-1.67662,-1.03307
4.12533,2.18684,-0.436545,-0.606145,-0.0846066,-1.66208,-1.04788
4.13033,2.18569,-0.440194,-0.59643,-0.0762079,-1.6524,-1.05519
4.13534,2.18861,-0.453414,-0.596934,-0.0639953,-1.64243,-1.06695
4.1403,2.19646,-0.469874,-0.603199,-0.0500706,-1.63165,-1.08255
4.14531,2.21243,-0.48919,-0.613986,-0.0392238,-1.6288,-1.10139
4.15035,2.23678,-0.507343,-0.626523,-0.0305981,-1.63235,-1.12289
4.15537,2.26756,-0.523857,-0.640014,-0.0235691,-1.64116,-1.14637
4.16037,2.30227,-0.542308,-0.655979,-0.0227357,-1.6432,-1.16554
4.16538,2.34199,-0.557991,-0.67145,-0.0271663,-1.63857,-1.18028
4.17038,2.37878,-0.566151,-0.677727,-0.0319792,-1.63251,-1.18653
4.17537,2.40983,-0.577389,-0.69452,-0.0377801,-1.62861,-1.18684
4.18037,2.43743,-0.588697,-0.718933,-0.0454793,-1.62662,-1.18228
4.18538,2.46214,-0.613082,-0.737226,-0.0581449,-1.62505,-1.17608
4.19038,2.48664,-0.646469,-0.749125,-0.0734483,-1.62386,-1.16844
4.19537,2.5039,-0.675839,-0.759443,-0.0877269,-1.61734,-1.15763
4.20026,2.51665,-0.697904,-0.766528,-0.100071,-1.60642,-1.14424
4.20537,2.52727,-0.709544,-0.764956,-0.107238,-1.59301,-1.13558
4.21037,2.5377,-0.710707,-0.756108,-0.111375,-1.57867,-1.13139
4.21534,2.5393,-0.71408,-0.74917,-0.120311,-1.56109,-1.12811
4.22038,2.53681,-0.7148,-0.741314,-0.134246,-1.53986,-1.12617
4.22537,2.53104,-0.702429,-0.743763,-0.144309,-1.52217,-1.13117
4.23036,2.52452,-0.675994,-0.753813,-0.151451,-1.50798,-1.14163
4.23536,2.525,-0.651791,-0.759173,-0.161559,-1.4872,-1.14959
4.24039,2.53348,-0.627838,-0.759246,-0.173187,-1.46036,-1.15483
4.24537,2.54894,-0.613904,-0.754608,-0.182609,-1.43643,-1.14911
4.25029,2.57294,-0.604113,-0.743443,-0.189454,-1.41473,-1.13476
4.25537,2.59505,-0.587072,-0.723157,-0.194288,-1.39814,-1.12313
4.26036,2.6161,-0.561446,-0.69458,-0.19866,-1.38652,-1.11413
4.26537,2.63627,-0.527993,-0.669027,-0.206797,-1.37441,-1.11021
4.27038,2.65785,-0.485121,-0.645059,-0.216976,-1.36225,-1.11092
4.27537,2.67393,-0.439273,-0.619536,-0.224525,-1.35222,-1.10314
4.28038,2.67885,-0.393317,-0.600776,-0.233914,-1.33493,-1.0938
4.28537,2.67698,-0.345968,-0.586945,-0.243974,-1.31125,-1.08314
4.29024,2.67023,-0.310791,-0.574792,-0.253952,-1.28522,-1.0771
4.29524,2.66109,-0.283685,-0.563441,-0.264779,-1.25624,-1.07445
4.30017,2.65024,-0.266117,-0.554235,-0.276056,-1.22643,-1.07467
4.30531,2.63023,-0.245483,-0.546237,-0.276834,-1.19375,-1.07558
4.31035,2.60755,-0.219905,-0.53824,-0.268396,-1.16137,-1.07697
4.31534,2.59405,-0.19091,-0.533851,-0.261233,-1.12923,-1.07075
4.32034,2.58897,-0.168847,-0.532699,-0.250743,-1.09818,-1.05933
4.32534,2.59449,-0.148524,-0.531886,-0.238095,-1.06785,-1.04409
4.33033,2.60094,-0.121189,-0.535794,-0.222812,-1.03827,-1.03374
4.33532,2.6101,-0.100951,-0.545598,-0.209489,-1.00629,-1.02457
4.34034,2.62267,-0.0852459,-0.559425,-0.19798,-0.971646,-1.01582
4.34531,2.63497,-0.0864234,-0.561306,-0.191112,-0.941171,-1.00576
4.35034,2.64508,-0.0904258,-0.566947,-0.186486,-0.909569,-1.00301
4.35532,2.65343,-0.0951182,-0.574905,-0.184613,-0.877953,-1.00685
4.36032,2.65312,-0.100308,-0.577758,-0.182757,-0.845958,-1.00697
4.36533,2.64788,-0.102288,-0.574343,-0.180625,-0.813897,-1.00466
4.37033,2.64451,-0.11074,-0.576608,-0.173877,-0.787942,-1.00121
4.37531,2.64574,-0.121109,-0.582275,-0.163757,-0.766775,-0.996359
4.38034,2.64544,-0.129518,-0.587694,-0.153946,-0.754297,-0.983671
4.38534,2.64671,-0.134504,-0.592183,-0.144822,-0.750295,-0.96401
4.39032,2.64786,-0.154722,-0.59791,-0.138138,-0.748937,-0.938724
4.39534,2.65146,-0.183721,-0.601767,-0.133428,-0.749507,-0.908228
4.40032,2.65259,-0.206411,-0.608042,-0.13269,-0.74765,-0.8762
4.40529,2.65457,-0.222321,-0.611499,-0.139128,-0.736688,-0.849958
4.41033,2.65899,-0.231855,-0.612241,-0.152024,-0.717052,-0.829258
4.4153,2.66157,-0.248893,-0.618952,-0.159768,-0.68659,-0.80419
4.42031,2.66507,-0.271307,-0.630914,-0.161759,-0.64645,-0.775882
4.4253,2.67001,-0.294225,-0.633086,-0.157254,-0.604585,-0.753519
4.43033,2.67744,-0.317109,-0.626797,-0.1472,-0.561696,-0.735464
